,Company,Segment,Segment Description,text,Predicted
1467,caterpillar inc.,Financial Products Segment,"Provides financing alternatives to customers and dealers around the world for Caterpillar products, as well as financing for vehicles, power generation facilities and marine vessels that, in most cases, incorporate Caterpillar products.","caterpillar inc. Financial Products Segment Provides financing alternatives to customers and dealers around the world for Caterpillar products, as well as financing for vehicles, power generation facilities and marine vessels that, in most cases, incorporate Caterpillar products.",Not Applicable
5405,genting singapore limited,Entertainment,Provides world-class entertainment options including Universal Studios Singapore theme park.,genting singapore limited Entertainment Provides world-class entertainment options including Universal Studios Singapore theme park.,Not Applicable
4340,lululemon athletica inc.,Accessories,"Lululemon sells a range of accessories including bags, yoga mats, water bottles, hats, socks, underwear, and more to complement their apparel. Many accessories are designed for yoga and running.","lululemon athletica inc. Accessories Lululemon sells a range of accessories including bags, yoga mats, water bottles, hats, socks, underwear, and more to complement their apparel. Many accessories are designed for yoga and running.",Not Applicable
3459,apartment income reit corp.,Affordable,Owns and operates affordable apartment communities in the United States.,apartment income reit corp. Affordable Owns and operates affordable apartment communities in the United States.,Energy Management & Efficiency
3214,nautilus inc.,Nutrition and accessories,"Offers nutrition products like protein bars and powders as well as fitness accessories like water bottles, workout mats, headphones, etc.","nautilus inc. Nutrition and accessories Offers nutrition products like protein bars and powders as well as fitness accessories like water bottles, workout mats, headphones, etc.",Not Applicable
333,south jersey industries inc.,Regulated Utility,"Provides natural gas service to residential, commercial and industrial customers in southern New Jersey.","south jersey industries inc. Regulated Utility Provides natural gas service to residential, commercial and industrial customers in southern New Jersey.",Alternative Energy
5692,apollo global management inc.,Credit,"Provides credit and financing solutions for companies through leveraged buyouts, distressed investments, and other credit-oriented investments.","apollo global management inc. Credit Provides credit and financing solutions for companies through leveraged buyouts, distressed investments, and other credit-oriented investments.",Not Applicable
1108,gray television inc.,Advertising,"Sells advertising time to local, regional, and national advertisers across its broadcast and digital platforms.","gray television inc. Advertising Sells advertising time to local, regional, and national advertisers across its broadcast and digital platforms.",Not Applicable
4848,sika ag,Construction,"Manufactures construction chemicals and systems for concrete, waterproofing, roofing, flooring, refurbishment.","sika ag Construction Manufactures construction chemicals and systems for concrete, waterproofing, roofing, flooring, refurbishment.",Energy Management & Efficiency
6770,tosoh corporation,Chlor-alkali,"Manufactures caustic soda, chlorine, hydrochloric acid, sodium hypochlorite.","tosoh corporation Chlor-alkali Manufactures caustic soda, chlorine, hydrochloric acid, sodium hypochlorite.",Not Applicable
2996,valley national bancorp,Mortgage Lending,"Originates residential mortgage loans through retail, wholesale, and correspondent channels across the U.S.","valley national bancorp Mortgage Lending Originates residential mortgage loans through retail, wholesale, and correspondent channels across the U.S.",Not Applicable
5753,paypal holdings inc.,Digital Payments,"Enables digital and mobile payments for consumers and merchants, including PayPal, Venmo, Xoom, and Braintree products","paypal holdings inc. Digital Payments Enables digital and mobile payments for consumers and merchants, including PayPal, Venmo, Xoom, and Braintree products",Not Applicable
1945,bentley systems incorporated,Construction Management,Solutions like SYNCHRO 4D analyze and visualize schedules to improve construction planning and sequencing. This optimizes productivity.,bentley systems incorporated Construction Management Solutions like SYNCHRO 4D analyze and visualize schedules to improve construction planning and sequencing. This optimizes productivity.,Not Applicable
6344,globe life inc.,Administrative services,Provides administrative services to Anchor National Life Insurance Company.,globe life inc. Administrative services Provides administrative services to Anchor National Life Insurance Company.,Not Applicable
